game_id,season,season_type,week,gameday,away_team,away_score,home_team,home_score,location,result,total,spread_line,total_line,div_game,roof,surface,temp,wind,away_coach,home_coach,stadium_id,stadium,game_type
2025_04_NO_BUF,2025,REG,4,2025-09-28,NO,19,BUF,31,Home,12,50,15.5,48.5,0,outdoors,a_turf,73.0,7.0,Kellen Moore,Sean McDermott,BUF00,New Era Field,REG
2025_04_NYJ_MIA,2025,REG,4,2025-09-29,NYJ,21,MIA,27,Home,6,48,2.5,44.5,1,outdoors,grass,88.0,17.0,Aaron Glenn,Mike McDaniel,MIA00,Hard Rock Stadium,REG
2025_04_PHI_TB,2025,REG,4,2025-09-28,PHI,31,TB,25,Home,-6,56,-3.5,44.5,0,outdoors,grass,88.0,6.0,Nick Sirianni,Todd Bowles,TAM00,Raymond James Stadium,REG
2025_04_SEA_ARI,2025,REG,4,2025-09-25,SEA,23,ARI,20,Home,-3,43,-1.5,43.5,1,closed,grass,,,Mike Macdonald,Jonathan Gannon,PHO00,State Farm Stadium,REG
2025_04_TEN_HOU,2025,REG,4,2025-09-28,TEN,0,HOU,26,Home,26,26,7.5,39.5,1,closed,astroturf,,,Brian Callahan,DeMeco Ryans,HOU00,NRG Stadium,REG
2025_04_WAS_ATL,2025,REG,4,2025-09-28,WAS,27,ATL,34,Home,7,61,2.5,43.5,0,closed,fieldturf,,,Dan Quinn,Raheem Morris,ATL97,Mercedes-Benz Stadium,REG
2025_05_DAL_NYJ,2025,REG,5,2025-10-05,DAL,37,NYJ,22,Home,-15,59,1.5,48.5,0,outdoors,fieldturf,82.0,3.0,Brian Schottenheimer,Aaron Glenn,NYC01,MetLife Stadium,REG
2025_05_DEN_PHI,2025,REG,5,2025-10-05,DEN,21,PHI,17,Home,-4,38,3.5,44.5,0,outdoors,grass,80.0,6.0,Sean Payton,Nick Sirianni,PHI00,Lincoln Financial Field,REG
2025_05_DET_CIN,2025,REG,5,2025-10-05,DET,37,CIN,24,Home,-13,61,-10.5,49.5,0,outdoors,fieldturf,84.0,7.0,Dan Campbell,Zac Taylor,CIN00,Paycor Stadium,REG
2025_05_HOU_BAL,2025,REG,5,2025-10-05,HOU,44,BAL,10,Home,-34,54,-2.5,41.5,0,outdoors,grass,78.0,2.0,DeMeco Ryans,John Harbaugh,BAL00,M&T Bank Stadium,REG
2025_05_KC_JAX,2025,REG,5,2025-10-06,KC,28,JAX,31,Home,3,59,-3.5,45.5,0,outdoors,grass,80.0,12.0,Andy Reid,Liam Coen,JAX00,TIAA Bank Stadium,REG
2025_05_LV_IND,2025,REG,5,2025-10-05,LV,6,IND,40,Home,34,46,7.0,46.5,0,closed,fieldturf,,,Pete Carroll,Shane Steichen,IND00,Lucas Oil Stadium,REG
2025_05_MIA_CAR,2025,REG,5,2025-10-05,MIA,24,CAR,27,Home,3,51,-1.5,44.5,0,outdoors,grass,77.0,8.0,Mike McDaniel,Dave Canales,CAR00,Bank of America Stadium,REG
2025_05_MIN_CLE,2025,REG,5,2025-10-05,MIN,21,CLE,17,Neutral,-4,38,-3.5,35.5,0,outdoors,grass,61.0,14.0,Kevin O'Connell,Kevin Stefanski,CLE00,FirstEnergy Stadium,REG
2025_05_NE_BUF,2025,REG,5,2025-10-05,NE,23,BUF,20,Home,-3,43,7.5,49.5,1,outdoors,a_turf,66.0,3.0,Mike Vrabel,Sean McDermott,BUF00,New Era Field,REG
2025_05_NYG_NO,2025,REG,5,2025-10-05,NYG,14,NO,26,Home,12,40,1.5,41.5,0,dome,sportturf,,,Brian Daboll,Kellen Moore,NOR00,Mercedes-Benz Superdome,REG
2025_05_SF_LA,2025,REG,5,2025-10-02,SF,26,LA,23,Home,-3,49,8.5,43.5,1,dome,matrixturf,,,Kyle Shanahan,Sean McVay,LAX01,SoFi Stadium,REG
2025_05_TB_SEA,2025,REG,5,2025-10-05,TB,38,SEA,35,Home,-3,73,3.5,44.5,0,outdoors,fieldturf,61.0,8.0,Todd Bowles,Mike Macdonald,SEA00,Lumen Field,REG
2025_05_TEN_ARI,2025,REG,5,2025-10-05,TEN,22,ARI,21,Home,-1,43,7.5,41.5,0,closed,grass,,,Brian Callahan,Jonathan Gannon,PHO00,State Farm Stadium,REG
2025_05_WAS_LAC,2025,REG,5,2025-10-05,WAS,27,LAC,10,Home,-17,37,2.5,47.5,0,dome,matrixturf,,,Dan Quinn,Jim Harbaugh,LAX01,SoFi Stadium,REG
2025_06_ARI_IND,2025,REG,6,2025-10-12,ARI,27,IND,31,Home,4,58,8.5,46.5,0,closed,fieldturf,,,Jonathan Gannon,Shane Steichen,IND00,Lucas Oil Stadium,REG
2025_06_BUF_ATL,2025,REG,6,2025-10-13,BUF,14,ATL,24,Home,10,38,-3.5,49.5,0,closed,fieldturf,,,Sean McDermott,Raheem Morris,ATL97,Mercedes-Benz Stadium,REG
2025_06_CHI_WAS,2025,REG,6,2025-10-13,CHI,25,WAS,24,Home,-1,49,5.5,49.5,0,outdoors,grass,59.0,12.0,Ben Johnson,Dan Quinn,WAS00,FedExField,REG
2025_06_CIN_GB,2025,REG,6,2025-10-12,CIN,18,GB,27,Home,9,45,14.0,44.5,0,outdoors,grass,64.0,14.0,Zac Taylor,Matt LaFleur,GNB00,Lambeau Field,REG
2025_06_CLE_PIT,2025,REG,6,2025-10-12,CLE,9,PIT,23,Home,14,32,5.5,37.5,1,outdoors,grass,64.0,8.0,Kevin Stefanski,Mike Tomlin,PIT00,Acrisure Stadium,REG
2025_06_DAL_CAR,2025,REG,6,2025-10-12,DAL,27,CAR,30,Home,3,57,-3.0,47.5,0,outdoors,grass,68.0,15.0,Brian Schottenheimer,Dave Canales,CAR00,Bank of America Stadium,REG
2025_06_DEN_NYJ,2025,REG,6,2025-10-12,DEN,13,NYJ,11,Neutral,-2,24,-7.5,43.5,0,outdoors,grass,59.0,6.0,Sean Payton,Aaron Glenn,NYC01,MetLife Stadium,REG
2025_06_DET_KC,2025,REG,6,2025-10-12,DET,17,KC,30,Home,13,47,2.5,51.5,0,outdoors,grass,85.0,13.0,Dan Campbell,Andy Reid,KAN00,GEHA Field at Arrowhead Stadium,REG
2025_06_LAC_MIA,2025,REG,6,2025-10-12,LAC,29,MIA,27,Home,-2,56,-3.5,45.5,0,outdoors,grass,85.0,4.0,Jim Harbaugh,Mike McDaniel,MIA00,Hard Rock Stadium,REG
2025_06_LA_BAL,2025,REG,6,2025-10-12,LA,17,BAL,3,Home,-14,20,-7.0,43.5,0,outdoors,grass,64.0,15.0,Sean McVay,John Harbaugh,BAL00,M&T Bank Stadium,REG
2025_06_NE_NO,2025,REG,6,2025-10-12,NE,25,NO,19,Home,-6,44,-3.5,46.5,0,dome,sportturf,,,Mike Vrabel,Kellen Moore,NOR00,Mercedes-Benz Superdome,REG
2025_06_PHI_NYG,2025,REG,6,2025-10-09,PHI,17,NYG,34,Home,17,51,-7.0,40.5,1,outdoors,fieldturf,53.0,3.0,Nick Sirianni,Brian Daboll,NYC01,MetLife Stadium,REG
2025_06_SEA_JAX,2025,REG,6,2025-10-12,SEA,20,JAX,12,Home,-8,32,-1.5,47.5,0,outdoors,grass,76.0,8.0,Mike Macdonald,Liam Coen,JAX00,TIAA Bank Stadium,REG
2025_06_SF_TB,2025,REG,6,2025-10-12,SF,19,TB,30,Home,11,49,3.5,46.5,0,outdoors,grass,82.0,10.0,Kyle Shanahan,Todd Bowles,TAM00,Raymond James Stadium,REG
2025_06_TEN_LV,2025,REG,6,2025-10-12,TEN,10,LV,20,Home,10,30,3.5,41.5,0,dome,grass,,,Brian Callahan,Pete Carroll,VEG00,Allegiant Stadium,REG
2025_07_ATL_SF,2025,REG,7,2025-10-19,ATL,10,SF,20,Home,10,30,1.5,46.5,0,outdoors,grass,74.0,5.0,Raheem Morris,Kyle Shanahan,SFO01,Levi's Stadium,REG
2025_07_CAR_NYJ,2025,REG,7,2025-10-19,CAR,13,NYJ,6,Home,-7,19,1.5,39.5,0,outdoors,fieldturf,71.0,13.0,Dave Canales,Aaron Glenn,NYC01,MetLife Stadium,REG
2025_07_GB_ARI,2025,REG,7,2025-10-19,GB,27,ARI,23,Home,-4,50,-7.0,44.5,0,closed,grass,,,Matt LaFleur,Jonathan Gannon,PHO00,State Farm Stadium,REG
2025_07_HOU_SEA,2025,REG,7,2025-10-20,HOU,19,SEA,27,Home,8,46,3.0,41.5,0,outdoors,fieldturf,56.0,5.0,DeMeco Ryans,Mike Macdonald,SEA00,Lumen Field,REG
2025_07_IND_LAC,2025,REG,7,2025-10-19,IND,38,LAC,24,Home,-14,62,2.5,48.5,0,dome,matrixturf,,,Shane Steichen,Jim Harbaugh,LAX01,SoFi Stadium,REG
2025_07_LA_JAX,2025,REG,7,2025-10-19,LA,35,JAX,7,Neutral,-28,42,-3.0,44.5,0,outdoors,grass,59.0,9.0,Sean McVay,Liam Coen,JAX00,TIAA Bank Stadium,REG
